<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT,D,20141030,000000,10.6939,10.6939,10.6364,10.6364,7.956036632129294,0
TXT,D,20141031,000000,10.687,10.687,10.4117,10.4117,7.956036632129294,0
TXT,D,20141103,000000,10.445,10.445,10.0068,10.3754,3142.6247908408495,0
TXT,D,20141104,000000,10.3356,10.3467,10.1787,10.3467,1021.0240848668783,0
TXT,D,20141105,000000,10.4117,10.9901,10.3754,10.4176,7533.038252120899,0
TXT,D,20141106,000000,10.4336,10.4977,10.4336,10.4977,84.86437624256232,0
TXT,D,20141107,000000,10.926,10.926,10.5332,10.7006,466.7533080762102,0
TXT,D,20141110,000000,10.8959,10.901,10.8678,10.8678,4725.878059905074,0
TXT,D,20141112,000000,10.8854,11.2209,10.8455,11.0995,74721.70246852827,0
TXT,D,20141113,000000,11.0763,11.5384,11.0763,11.4803,3153.238900746449,0
TXT,D,20141114,000000,11.4803,11.4803,11.1621,11.4803,1831.2058365310943,0
TXT,D,20141117,000000,11.4516,11.4516,11.1621,11.4117,190.9441396634457,0
TXT,D,20141118,000000,11.4117,11.5384,11.1349,11.1349,2319.18301437346,0
TXT,D,20141119,000000,11.33,11.33,11.018,11.0482,371.28178200011774,0
TXT,D,20141120,000000,10.9843,10.9843,10.595,10.8566,304.98057047298965,0
TXT,D,20141121,000000,10.8566,10.9843,10.8566,10.9321,502.5563538049133,0
TXT,D,20141124,000000,10.9843,10.9843,10.9208,10.9208,1758.2773313805315,0
TXT,D,20141125,000000,10.9843,11.2797,10.9843,11.1161,45234.0521336568,0
TXT,D,20141126,000000,11.1621,13.015,11.1621,13.015,82962.86280301923,0
TXT,D,20141127,000000,12.724,13.015,12.0128,12.8454,12542.593624410769,0
TXT,D,20141128,000000,12.8581,14.6929,12.8521,14.4652,91815.31321721691,0
TXT,D,20141201,000000,14.4652,16.0445,14.4593,16.0445,325867.311748291,0
TXT,D,20141202,000000,16.1952,16.1952,15.0376,15.5014,10382.622258621297,0
TXT,D,20141203,000000,14.9517,17.2934,14.9517,17.2934,35019.820118660806,0
TXT,D,20141204,000000,17.3515,18.1599,16.3786,16.3786,237127.48037667194,0
TXT,D,20141205,000000,16.3786,17.6403,16.1952,17.6124,11049.54941443153,0
TXT,D,20141208,000000,17.6124,17.929,16.4253,16.7615,14723.923711362735,0
TXT,D,20141209,000000,16.4825,16.5128,15.2993,15.2993,9819.073923264577,0
TXT,D,20141210,000000,15.3044,16.1772,15.3044,15.8416,859.2513472636576,0
TXT,D,20141211,000000,15.7842,15.7842,14.5346,15.0505,6346.258963413679,0
TXT,D,20141212,000000,15.6153,17.2359,14.8347,17.2359,19432.521217333386,0
TXT,D,20141215,000000,16.3114,16.7729,16.2013,16.5422,1286.221318396565,0
TXT,D,20141216,000000,15.9637,15.9637,15.6153,15.6153,8261.018290113545,0
TXT,D,20141217,000000,15.6153,16.5422,15.6153,16.4825,1758.2773313805315,0
TXT,D,20141218,000000,16.5422,16.7729,16.4253,16.7729,34358.06951645207,0
TXT,D,20141219,000000,17.0609,17.1477,16.3672,16.7729,27189.739040759636,0
TXT,D,20141222,000000,17.1477,17.1477,16.3912,17.0167,298.35110182703335,0
TXT,D,20141223,000000,16.4253,17.0534,16.4253,16.7729,2389.4579920476226,0
TXT,D,20141229,000000,17.0167,17.0167,16.1952,16.1952,13009.353457554544,0
TXT,D,20141230,000000,16.1952,16.1952,15.374,16.1883,54212.43635185738,0
TXT,D,20150102,000000,16.1883,16.4661,15.6748,15.7842,1032.9584334431127,0
TXT,D,20150105,000000,15.9057,16.3332,15.9057,16.1952,1634.9644295161966,0
TXT,D,20150107,000000,15.8469,16.2013,15.8469,16.1952,1596.510031333615,0
TXT,D,20150108,000000,16.1883,16.1883,15.6153,15.9057,12700.391508355691,0
TXT,D,20150109,000000,15.8945,15.9057,15.5301,15.9057,6413.891288724051,0
TXT,D,20150112,000000,16.014,16.7103,15.8469,16.4253,34420.383911697034,0
TXT,D,20150113,000000,16.1138,16.1138,16.0037,16.0278,522.4458472540431,0
TXT,D,20150114,000000,15.7374,16.1363,15.7315,15.9057,495.9257976476962,0
TXT,D,20150115,000000,15.7963,15.7963,15.7897,15.7897,932.182027436742,0
TXT,D,20150116,000000,15.7963,16.1883,15.7897,16.1883,225.42042165394886,0
TXT,D,20150119,000000,16.1883,16.1883,15.3605,15.6153,19594.342892943343,0
TXT,D,20150120,000000,15.6455,15.7607,15.6455,15.6455,5343.8019583027735,0
TXT,D,20150121,000000,15.6334,15.8469,15.355,15.8469,10531.132796398824,0
TXT,D,20150122,000000,15.923,15.923,15.6748,15.6809,1343.2395338013373,0
TXT,D,20150123,000000,15.8996,15.8996,15.8197,15.8197,340.78361620169267,0
TXT,D,20150126,000000,15.871,16.4556,15.871,16.3566,11969.801443337083,0
TXT,D,20150127,000000,16.8816,18.8725,16.5814,18.8725,80481.92336371148,0
TXT,D,20150128,000000,19.2313,20.184,18.1031,18.8264,14412.35173513792,0
TXT,D,20150129,000000,19.666,20.012,18.0611,18.6531,57296.72703866787,0
TXT,D,20150130,000000,18.733,19.2012,18.2202,19.2012,11339.914921070365,0
TXT,D,20150202,000000,19.3474,19.3474,18.3417,19.0866,5589.111873405853,0
TXT,D,20150203,000000,19.1901,19.1901,18.5021,18.5021,4533.606068992167,0
TXT,D,20150204,000000,18.5021,18.5074,17.7547,18.5074,49124.51491811286,0
TXT,D,20150205,000000,18.5074,19.5496,18.2202,19.3762,30020.74835492524,0
TXT,D,20150206,000000,19.3702,19.491,19.3175,19.491,2547.255875992548,0
TXT,D,20150209,000000,19.9201,19.9201,18.9698,18.9698,21465.297266057394,0
TXT,D,20150210,000000,18.9115,19.0866,18.3348,18.5837,13863.376050676181,0
TXT,D,20150211,000000,18.5783,18.5783,18.2479,18.3573,847.3180861986842,0
TXT,D,20150212,000000,18.5074,19.0588,18.5074,19.0588,32542.795719891987,0
TXT,D,20150213,000000,18.7517,19.0278,18.5437,18.7164,10124.055581248827,0
TXT,D,20150216,000000,18.7277,19.0866,18.7095,18.733,113131.62144054203,0
TXT,D,20150217,000000,18.733,19.2081,18.5639,19.0806,82474.89650028948,0
TXT,D,20150218,000000,19.0806,19.0866,18.8725,18.8725,2622.837908619511,0
TXT,D,20150219,000000,19.0172,19.491,18.8725,19.491,3971.3844973736473,0
TXT,D,20150220,000000,19.491,20.0851,19.491,19.9547,5798.62091780275,0
TXT,D,20150223,000000,20.184,21.2858,20.184,20.822,10497.985453169042,0
TXT,D,20150224,000000,21.0528,21.0528,20.457,20.822,7190.928959692267,0
TXT,D,20150225,000000,20.5626,20.5626,19.7215,20.2442,2207.800111040316,0
TXT,D,20150226,000000,20.6786,20.6786,19.7215,20.4396,1161.5707776814215,0
TXT,D,20150227,000000,20.3656,20.8152,20.3656,20.8045,5719.058593961188,0
TXT,D,20150302,000000,20.822,20.822,19.666,20.7005,7033.131075747343,0
TXT,D,20150303,000000,20.533,20.533,19.8966,19.8966,5868.895895476913,0
TXT,D,20150304,000000,19.764,20.2262,19.666,20.1626,4512.399599406185,0
TXT,D,20150305,000000,20.0422,20.2139,20.012,20.208,904.3363016034561,0
TXT,D,20150306,000000,19.9547,19.9774,19.1523,19.1523,5400.820173707547,0
TXT,D,20150309,000000,19.2819,19.8272,18.5783,19.8272,19628.816999911323,0
TXT,D,20150310,000000,19.8339,20.589,19.7692,20.533,19460.36150561037,0
TXT,D,20150311,000000,20.533,20.533,19.9832,20.012,434.92946605084603,0
TXT,D,20150313,000000,20.012,20.2442,19.666,19.666,1921.3822702782563,0
TXT,D,20150316,000000,19.9432,20.184,19.7283,19.8098,2569.7999844293386,0
TXT,D,20150317,000000,19.6704,19.7215,19.5783,19.5783,1025.0022010589562,0
TXT,D,20150318,000000,19.509,19.5783,19.4643,19.4643,491.947681455618,0
TXT,D,20150319,000000,19.5202,20.184,19.491,20.0996,3747.2919269691592,0
TXT,D,20150320,000000,20.0996,20.184,19.666,20.184,2930.473094080161,0
TXT,D,20150323,000000,19.8966,20.1742,19.6069,19.9713,4346.641133032061,0
TXT,D,20150324,000000,19.9547,20.533,19.9547,20.4456,40740.129350571944,0
TXT,D,20150325,000000,20.1626,20.1626,19.491,19.6364,1555.4021056746342,0
TXT,D,20150326,000000,19.8966,19.9494,19.6364,19.8386,2300.619197151269,0
TXT,D,20150327,000000,19.9547,20.2442,19.491,19.5723,20594.200746140887,0
TXT,D,20150330,000000,19.8386,20.4638,19.4327,19.4327,20851.397159324726,0
